genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_001279095.1,PRJNA238534,ASM127909v1,Contig,na,SAMN02900607,2015-09-04,GCA_001279095.1,full,Streptomyces,Streptomyces rimosus subsp. rimosus (high GC Gram+),GCF_001279095.1,,yes,major,rimosus,NRRL WC-3899,University of Illinois at Urbana-Champaign,132474
GCF_001279105.1,PRJNA238534,ASM127910v1,Contig,na,SAMN02900605,2015-09-04,GCA_001279105.1,full,Streptomyces,Streptomyces rimosus subsp. rimosus (high GC Gram+),GCF_001279105.1,,yes,major,rimosus,NRRL WC-3873,University of Illinois at Urbana-Champaign,132474
GCF_001279345.1,PRJNA238534,ASM127934v1,Contig,na,SAMN02900609,2015-09-04,GCA_001279345.1,full,Streptomyces,Streptomyces rimosus subsp. pseudoverticillatus (high GC Gram+),GCF_001279345.1,,yes,major,rimosus,NRRL WC-3896,University of Illinois at Urbana-Champaign,1464079
GCF_001279355.1,PRJNA238534,ASM127935v1,Contig,na,SAMN02900612,2015-09-04,GCA_001279355.1,full,Streptomyces,Streptomyces sp. NRRL F-4711 (high GC Gram+),GCF_001279355.1,,yes,major,sp.,NRRL F-4711,University of Illinois at Urbana-Champaign,1519476
GCF_001279365.1,PRJNA238534,ASM127936v1,Contig,na,SAMN02900611,2015-09-04,GCA_001279365.1,full,Streptomyces,Streptomyces sp. NRRL F-5755 (high GC Gram+),GCF_001279365.1,,yes,major,sp.,NRRL F-5755,University of Illinois at Urbana-Champaign,1519475
GCF_001279375.1,PRJNA238534,ASM127937v1,Contig,na,SAMN02900608,2015-09-04,GCA_001279375.1,full,Streptomyces,Streptomyces rimosus subsp. rimosus (high GC Gram+),GCF_001279375.1,,yes,major,rimosus,NRRL WC-3898,University of Illinois at Urbana-Champaign,132474
GCF_001279425.1,PRJNA238534,ASM127942v1,Contig,na,SAMN02900613,2015-09-04,GCA_001279425.1,full,Streptomyces,Streptomyces sp. NRRL F-2295 (high GC Gram+),GCF_001279425.1,,yes,major,sp.,NRRL F-2295,University of Illinois at Urbana-Champaign,1519477
GCF_001279445.1,PRJNA238534,ASM127944v1,Contig,na,SAMN02900614,2015-09-04,GCA_001279445.1,full,Streptomyces,Streptomyces sp. WM6349 (high GC Gram+),GCF_001279445.1,,yes,major,sp.,WM6349,University of Illinois at Urbana-Champaign,1415552
GCF_001279455.1,PRJNA238534,ASM127945v1,Contig,na,SAMN02900623,2015-09-04,GCA_001279455.1,full,Streptomyces,Streptomyces sp. XY152 (high GC Gram+),GCF_001279455.1,,yes,major,sp.,XY152,University of Illinois at Urbana-Champaign,1415560
GCF_001279485.1,PRJNA238534,ASM127948v1,Contig,na,SAMN02900628,2015-09-04,GCA_001279485.1,full,Streptomyces,Streptomyces sp. XY511 (high GC Gram+),GCF_001279485.1,,yes,major,sp.,XY511,University of Illinois at Urbana-Champaign,1519480
GCF_001279495.1,PRJNA238534,ASM127949v1,Contig,na,SAMN02900637,2015-09-04,GCA_001279495.1,full,Streptomyces,Streptomyces sp. H021 (high GC Gram+),GCF_001279495.1,,yes,major,sp.,H021,University of Illinois at Urbana-Champaign,1519486
GCF_001279545.1,PRJNA238534,ASM127954v1,Contig,na,SAMN02900645,2015-09-04,GCA_001279545.1,full,Streptomyces,Streptomyces sp. NRRL B-3648 (high GC Gram+),GCF_001279545.1,,yes,major,sp.,NRRL B-3648,University of Illinois at Urbana-Champaign,1519493
GCF_001279605.1,PRJNA238534,ASM127960v1,Contig,na,SAMN02900651,2015-09-04,GCA_001279605.1,full,Streptomyces,Streptomyces sp. NRRL F-4707 (high GC Gram+),GCF_001279605.1,,yes,major,sp.,NRRL F-4707,University of Illinois at Urbana-Champaign,1519496
GCF_001279615.1,PRJNA238534,ASM127961v1,Contig,na,SAMN02900653,2015-09-04,GCA_001279615.1,full,Streptomyces,Streptomyces sp. NRRL F-7442 (high GC Gram+),GCF_001279615.1,,yes,major,sp.,NRRL F-7442,University of Illinois at Urbana-Champaign,1519498
GCF_001279625.1,PRJNA238534,ASM127962v1,Contig,na,SAMN02900616,2015-09-04,GCA_001279625.1,full,Streptomyces,Streptomyces sp. WM6368 (high GC Gram+),GCF_001279625.1,,yes,major,sp.,WM6368,University of Illinois at Urbana-Champaign,1415554
GCF_001279655.1,PRJNA238534,ASM127965v1,Contig,na,SAMN02900617,2015-09-04,GCA_001279655.1,full,Streptomyces,Streptomyces sp. WM6372 (high GC Gram+),GCF_001279655.1,,yes,major,sp.,WM6372,University of Illinois at Urbana-Champaign,1415555
GCF_001279685.1,PRJNA238534,ASM127968v1,Contig,na,SAMN02900618,2015-09-04,GCA_001279685.1,full,Streptomyces,Streptomyces sp. WM6373 (high GC Gram+),GCF_001279685.1,,yes,major,sp.,WM6373,University of Illinois at Urbana-Champaign,1415556
GCF_001279695.1,PRJNA238534,ASM127969v1,Contig,na,SAMN02900619,2015-09-04,GCA_001279695.1,full,Streptomyces,Streptomyces sp. WM6378 (high GC Gram+),GCF_001279695.1,,yes,major,sp.,WM6378,University of Illinois at Urbana-Champaign,1415557
GCF_001279725.1,PRJNA238534,ASM127972v1,Contig,na,SAMN02900620,2015-09-04,GCA_001279725.1,full,Streptomyces,Streptomyces sp. WM4235 (high GC Gram+),GCF_001279725.1,,yes,major,sp.,WM4235,University of Illinois at Urbana-Champaign,1415551
GCF_001279735.1,PRJNA238534,ASM127973v1,Contig,na,SAMN02900621,2015-09-04,GCA_001279735.1,full,Streptomyces,Streptomyces sp. MMG1522 (high GC Gram+),GCF_001279735.1,,yes,major,sp.,MMG1522,University of Illinois at Urbana-Champaign,1415545
GCF_001279765.1,PRJNA238534,ASM127976v1,Contig,na,SAMN02900626,2015-09-04,GCA_001279765.1,full,Streptomyces,Streptomyces sp. XY413 (high GC Gram+),GCF_001279765.1,,yes,major,sp.,XY413,University of Illinois at Urbana-Champaign,1519479
GCF_001279775.1,PRJNA238534,ASM127977v1,Contig,na,SAMN02900622,2015-09-04,GCA_001279775.1,full,Streptomyces,Streptomyces sp. MMG1533 (high GC Gram+),GCF_001279775.1,,yes,major,sp.,MMG1533,University of Illinois at Urbana-Champaign,1415546
GCF_001279805.1,PRJNA238534,ASM127980v1,Contig,na,SAMN02900627,2015-09-04,GCA_001279805.1,full,Streptomyces,Streptomyces sp. XY431 (high G+C Gram-positive bacteria),GCF_001279805.1,,yes,major,sp.,XY431,University of Illinois at Urbana-Champaign,1415562
GCF_001279815.1,PRJNA238534,ASM127981v1,Contig,na,SAMN02900625,2015-09-04,GCA_001279815.1,full,Streptomyces,Streptomyces sp. XY37 (high GC Gram+),GCF_001279815.1,,yes,major,sp.,XY37,University of Illinois at Urbana-Champaign,1519478
GCF_001279845.1,PRJNA238534,ASM127984v1,Contig,na,SAMN02900629,2015-09-04,GCA_001279845.1,full,Streptomyces,Streptomyces sp. XY533 (high GC Gram+),GCF_001279845.1,,yes,major,sp.,XY533,University of Illinois at Urbana-Champaign,1519481
GCF_001279855.1,PRJNA238534,ASM127985v1,Contig,na,SAMN02900630,2015-09-04,GCA_001279855.1,full,Streptomyces,Streptomyces sp. XY58 (high GC Gram+),GCF_001279855.1,,yes,major,sp.,XY58,University of Illinois at Urbana-Champaign,1519482
GCF_001279885.1,PRJNA238534,ASM127988v1,Contig,na,SAMN02900631,2015-09-04,GCA_001279885.1,full,Streptomyces,Streptomyces sp. XY593 (high GC Gram+),GCF_001279885.1,,yes,major,sp.,XY593,University of Illinois at Urbana-Champaign,1519483
GCF_001279905.1,PRJNA238534,ASM127990v1,Contig,na,SAMN02900632,2015-09-04,GCA_001279905.1,full,Streptomyces,Streptomyces sp. XY66 (high GC Gram+),GCF_001279905.1,,yes,major,sp.,XY66,University of Illinois at Urbana-Champaign,1415563
GCF_001279925.1,PRJNA238534,ASM127992v1,Contig,na,SAMN02900638,2015-09-04,GCA_001279925.1,full,Streptomyces,Streptomyces sp. H036 (high GC Gram+),GCF_001279925.1,,yes,major,sp.,H036,University of Illinois at Urbana-Champaign,1519487
GCF_001279935.1,PRJNA238534,ASM127993v1,Contig,na,SAMN02900636,2015-09-04,GCA_001279935.1,full,Streptomyces,Streptomyces sp. IGB124 (high GC Gram+),GCF_001279935.1,,yes,major,sp.,IGB124,University of Illinois at Urbana-Champaign,1519485
GCF_001279965.1,PRJNA238534,ASM127996v1,Contig,na,SAMN02900639,2015-09-04,GCA_001279965.1,full,Streptomyces,Streptomyces sp. MMG1064 (high GC Gram+),GCF_001279965.1,,yes,major,sp.,MMG1064,University of Illinois at Urbana-Champaign,1519488
GCF_001279985.1,PRJNA238534,ASM127998v1,Contig,na,SAMN02900640,2015-09-04,GCA_001279985.1,full,Streptomyces,Streptomyces sp. AS58 (high GC Gram+),GCF_001279985.1,,yes,major,sp.,AS58,University of Illinois at Urbana-Champaign,1519489
GCF_001280005.1,PRJNA238534,ASM128000v1,Contig,na,SAMN02900642,2015-09-04,GCA_001280005.1,full,Streptomyces,Streptomyces sp. NRRL WC-3618 (high GC Gram+),GCF_001280005.1,,yes,major,sp.,NRRL WC-3618,University of Illinois at Urbana-Champaign,1519490
GCF_001280015.1,PRJNA238534,ASM128001v1,Contig,na,SAMN02900641,2015-09-04,GCA_001280015.1,full,Streptomyces,Streptomyces sp. MMG1121 (high GC Gram+),GCF_001280015.1,,yes,major,sp.,MMG1121,University of Illinois at Urbana-Champaign,1415544
GCF_001280045.1,PRJNA238534,ASM128004v1,Contig,na,SAMN02900643,2015-09-04,GCA_001280045.1,full,Streptomyces,Streptomyces sp. NRRL WC-3723 (high GC Gram+),GCF_001280045.1,,yes,major,sp.,NRRL WC-3723,University of Illinois at Urbana-Champaign,1519491
GCF_001280065.1,PRJNA238534,ASM128006v1,Contig,na,SAMN02900646,2015-09-04,GCA_001280065.1,full,Streptomyces,Streptomyces sp. NRRL B-1140 (high GC Gram+),GCF_001280065.1,,yes,major,sp.,NRRL B-1140,University of Illinois at Urbana-Champaign,1415549
GCF_001280095.1,PRJNA238534,ASM128009v1,Contig,na,SAMN02900650,2015-09-04,GCA_001280095.1,full,Streptomyces,Streptomyces sp. NRRL F-6491 (high GC Gram+),GCF_001280095.1,,yes,major,sp.,NRRL F-6491,University of Illinois at Urbana-Champaign,1519495
GCF_001280125.1,PRJNA238534,ASM128012v1,Contig,na,SAMN02900652,2015-09-04,GCA_001280125.1,full,Streptomyces,Streptomyces sp. NRRL F-6492 (high GC Gram+),GCF_001280125.1,,yes,major,sp.,NRRL F-6492,University of Illinois at Urbana-Champaign,1519497
GCF_001280885.1,PRJNA238534,ASM128088v1,Contig,na,SAMN02900624,2015-09-10,GCA_001280885.1,full,Streptomyces,Streptomyces sp. XY332 (high GC Gram+),GCF_001280885.1,,yes,major,sp.,XY332,University of Illinois at Urbana-Champaign,1415561
GCF_001282115.1,PRJNA293375,ASM128211v1,Contig,na,SAMN04026160,2015-09-14,GCA_001282115.1,full,Streptomyces,Streptomyces sp. NRRL B-24085 (high GC Gram+),GCF_001282115.1,,yes,major,sp.,NRRL B-24085,USDA/ARS/NCAUR,1709476
GCF_001293595.1,PRJDB4101,ASM129359v1,Scaffold,na,SAMD00035869,2015-08-21,GCA_001293595.1,full,Streptomyces,Streptomyces sp. TP-A0875 (high GC Gram+),GCF_001293595.1,,yes,major,sp.,TP-A0875,National Institute of Technology and Evaluation Biological Resource Center,552354
GCF_001294335.1,PRJNA238534,ASM129433v1,Contig,na,SAMN03327492,2015-09-18,GCA_001294335.1,full,Streptomyces,Streptomyces chattanoogensis (high GC Gram+),GCF_001294335.1,Representative Genome,yes,major,chattanoogensis,NRRL ISP-5002,University of Illinois at Urbana-Champaign,66876
GCF_001294345.1,PRJNA238534,ASM129434v1,Contig,na,SAMN02900599,2015-09-18,GCA_001294345.1,full,Streptomyces,Streptomyces sp. NRRL S-4 (high GC Gram+),GCF_001294345.1,,yes,major,sp.,NRRL S-4,University of Illinois at Urbana-Champaign,1519471
GCF_001414545.1,PRJNA293399,ASM141454v1,Scaffold,na,SAMN04002534,2015-10-27,GCA_001414545.1,full,Streptomyces,Streptomyces pactum (high GC Gram+),GCF_001414545.1,,yes,major,pactum,ACT12,Northwest A&F Unversity,68249
GCF_001417675.1,PRJDB3172,ASM141767v1,Scaffold,na,SAMD00020839,2015-10-02,GCA_001417675.1,full,Streptomyces,Streptomyces sp. NBRC 110030 (high GC Gram+),GCF_001417675.1,,yes,major,sp.,NBRC 110030,National Institute of Technology and Evaluation,1550033
GCF_001417695.1,PRJDB3332,ASM141769v1,Contig,na,SAMD00023446,2015-08-26,GCA_001417695.1,full,Streptomyces,Streptomyces sp. JHA19 (high GC Gram+),GCF_001417695.1,,yes,major,sp.,JHA19,Kyushu University,1577588
GCF_001417735.1,PRJDB3539,ASM141773v1,Scaffold,na,SAMD00026622,2015-10-15,GCA_001417735.1,full,Streptomyces,Streptomyces sp. NBRC 110028 (high GC Gram+),GCF_001417735.1,,yes,major,sp.,NBRC 110028,National Institute of Technology and Evaluation Biological Resource Center,1621260
GCF_001417775.1,PRJDB4098,ASM141777v1,Scaffold,na,SAMD00035865,2015-10-22,GCA_001417775.1,full,Streptomyces,Streptomyces sp. TP-A0356 (high GC Gram+),GCF_001417775.1,,yes,major,sp.,TP-A0356,National Institute of Technology and Evaluation Biological Resource Center,1359208
GCF_001418125.1,PRJNA293375,ASM141812v1,Scaffold,na,SAMN04002961,2015-10-28,GCA_001418125.1,full,Streptomyces,Streptomyces albus (high GC Gram+),GCF_001418125.1,,yes,major,albus,NRRL B-1685,USDA/ARS/NCAUR,1888
GCF_001418135.1,PRJNA293375,ASM141813v1,Scaffold,na,SAMN04002963,2015-10-28,GCA_001418135.1,full,Streptomyces,Streptomyces aureus (high GC Gram+),GCF_001418135.1,,yes,major,aureus,NRRL B-2808,USDA/ARS/NCAUR,193461
GCF_001418165.1,PRJNA293375,ASM141816v1,Scaffold,na,SAMN04002974,2015-10-28,GCA_001418165.1,full,Streptomyces,Streptomyces prasinus (high GC Gram+),GCF_001418165.1,,yes,major,prasinus,NRRL B-12521,USDA/ARS/NCAUR,67345
GCF_001418175.1,PRJNA293375,ASM141817v1,Scaffold,na,SAMN04003009,2015-10-28,GCA_001418175.1,full,Streptomyces,Streptomyces hirsutus (high GC Gram+),GCF_001418175.1,,yes,major,hirsutus,NRRL B-3040,USDA/ARS/NCAUR,35620
GCF_001418325.1,PRJNA293375,ASM141832v1,Scaffold,na,SAMN04002960,2015-10-28,GCA_001418325.1,full,Streptomyces,Streptomyces atriruber (high GC Gram+),GCF_001418325.1,Representative Genome,yes,major,atriruber,NRRL B-24165,USDA/ARS/NCAUR,545121
GCF_001418335.1,PRJNA293375,ASM141833v1,Scaffold,na,SAMN04002962,2015-10-28,GCA_001418335.1,full,Streptomyces,Streptomyces aurantiacus (high GC Gram+),GCF_001418335.1,Representative Genome,yes,major,aurantiacus,NRRL ISP-5412,USDA/ARS/NCAUR,47760
GCF_001418385.1,PRJNA293375,ASM141838v1,Scaffold,na,SAMN04002384,2015-10-28,GCA_001418385.1,full,Streptomyces,Streptomyces alboniger (high GC Gram+),GCF_001418385.1,,yes,major,alboniger,NRRL B-1832,USDA/ARS/NCAUR,132473
GCF_001418395.1,PRJNA293375,ASM141839v1,Scaffold,na,SAMN04003992,2015-10-28,GCA_001418395.1,full,Streptomyces,Streptomyces prasinopilosus (high GC Gram+),GCF_001418395.1,,yes,major,prasinopilosus,NRRL B-24621,USDA/ARS/NCAUR,67344
GCF_001418415.1,PRJNA293375,ASM141841v1,Scaffold,na,SAMN04004080,2015-10-28,GCA_001418415.1,full,Streptomyces,Streptomyces hirsutus (high GC Gram+),GCF_001418415.1,Representative Genome,yes,major,hirsutus,NRRL B-2713,USDA/ARS/NCAUR,35620
GCF_001418465.1,PRJNA293375,ASM141846v1,Scaffold,na,SAMN04004081,2015-10-28,GCA_001418465.1,full,Streptomyces,Streptomyces kanamyceticus (high GC Gram+),GCF_001418465.1,,yes,major,kanamyceticus,NRRL B-2535,USDA/ARS/NCAUR,1967
GCF_001418475.1,PRJNA293375,ASM141847v1,Scaffold,na,SAMN04004085,2015-10-28,GCA_001418475.1,full,Streptomyces,Streptomyces ossamyceticus (high GC Gram+),GCF_001418475.1,Representative Genome,yes,major,ossamyceticus,NRRL B-3822,USDA/ARS/NCAUR,249581
GCF_001418495.1,PRJNA293375,ASM141849v1,Scaffold,na,SAMN04004086,2015-10-28,GCA_001418495.1,full,Streptomyces,Streptomyces pathocidini (high GC Gram+),GCF_001418495.1,Representative Genome,yes,major,pathocidini,NRRL B-24287,USDA/ARS/NCAUR,1650571
GCF_001418505.1,PRJNA293375,ASM141850v1,Scaffold,na,SAMN04003993,2015-10-28,GCA_001418505.1,full,Streptomyces,Streptomyces albus (high GC Gram+),GCF_001418505.1,,yes,major,albus,NRRL B-2465,USDA/ARS/NCAUR,1888
GCF_001418545.1,PRJNA293375,ASM141854v1,Scaffold,na,SAMN04003994,2015-10-28,GCA_001418545.1,full,Streptomyces,Streptomyces albus (high GC Gram+),GCF_001418545.1,,yes,major,albus,NRRL B-1335,USDA/ARS/NCAUR,1888
GCF_001418565.1,PRJNA293375,ASM141856v1,Scaffold,na,SAMN04003995,2015-10-28,GCA_001418565.1,full,Streptomyces,Streptomyces graminilatus (high GC Gram+),GCF_001418565.1,Representative Genome,yes,major,graminilatus,NRRL B-59124,USDA/ARS/NCAUR,1464070
GCF_001418575.1,PRJNA293375,ASM141857v1,Scaffold,na,SAMN04003996,2015-10-28,GCA_001418575.1,full,Streptacidiphilus,Streptacidiphilus griseoplanus (high GC Gram+),GCF_001418575.1,Representative Genome,yes,major,griseoplanus,NRRL B-3064,USDA/ARS/NCAUR,66896
GCF_001418585.1,PRJNA293375,ASM141858v1,Scaffold,na,SAMN04004079,2015-10-28,GCA_001418585.1,full,Streptomyces,Streptomyces griseoruber (high GC Gram+),GCF_001418585.1,,yes,major,griseoruber,NRRL B-1818,USDA/ARS/NCAUR,1943
GCF_001418625.1,PRJNA293375,ASM141862v1,Scaffold,na,SAMN04004082,2015-10-28,GCA_001418625.1,full,Streptomyces,Streptomyces luridiscabiei (high GC Gram+),GCF_001418625.1,,yes,major,luridiscabiei,NRRL B-24455,USDA/ARS/NCAUR,164114
GCF_001418645.1,PRJNA293375,ASM141864v1,Scaffold,na,SAMN04004083,2015-10-28,GCA_001418645.1,full,Streptomyces,Streptomyces neyagawaensis (high GC Gram+),GCF_001418645.1,Representative Genome,yes,major,neyagawaensis,NRRL B-3092,USDA/ARS/NCAUR,42238
GCF_001418655.1,PRJNA293375,ASM141865v1,Scaffold,na,SAMN04004087,2015-10-28,GCA_001418655.1,full,Streptomyces,Streptomyces phaeochromogenes (high GC Gram+),GCF_001418655.1,Representative Genome,yes,major,phaeochromogenes,NRRL B-1248,USDA/ARS/NCAUR,1923
GCF_001419685.1,PRJNA293375,ASM141968v1,Scaffold,na,SAMN04004090,2015-10-29,GCA_001419685.1,full,Streptomyces,Streptomyces puniciscabiei (high GC Gram+),GCF_001419685.1,,yes,major,puniciscabiei,NRRL B-24456,USDA/ARS/NCAUR,164348
GCF_001419695.1,PRJNA293375,ASM141969v1,Scaffold,na,SAMN04004088,2015-10-29,GCA_001419695.1,full,Streptomyces,Streptomyces prasinopilosus (high GC Gram+),GCF_001419695.1,,yes,major,prasinopilosus,NRRL B-2711,USDA/ARS/NCAUR,67344
GCF_001419705.1,PRJNA293375,ASM141970v1,Scaffold,na,SAMN04004089,2015-10-29,GCA_001419705.1,full,Streptomyces,Streptomyces prasinus (high GC Gram+),GCF_001419705.1,,yes,major,prasinus,NRRL B-2712,USDA/ARS/NCAUR,67345
GCF_001419745.1,PRJNA293375,ASM141974v1,Scaffold,na,SAMN04004092,2015-10-29,GCA_001419745.1,full,Streptomyces,Streptomyces silaceus (high GC Gram+),GCF_001419745.1,Representative Genome,yes,major,silaceus,NRRL B-24166,USDA/ARS/NCAUR,545123
GCF_001419765.1,PRJNA293375,ASM141976v1,Scaffold,na,SAMN04004093,2015-10-29,GCA_001419765.1,full,Streptomyces,Streptomyces torulosus (high GC Gram+),GCF_001419765.1,Representative Genome,yes,major,torulosus,NRRL B-3889,USDA/ARS/NCAUR,68276
GCF_001419795.1,PRJNA293375,ASM141979v1,Scaffold,na,SAMN04004084,2015-10-29,GCA_001419795.1,full,Streptomyces,Streptomyces niveiscabiei (high GC Gram+),GCF_001419795.1,Representative Genome,yes,major,niveiscabiei,NRRL B-24457,USDA/ARS/NCAUR,164115
GCF_001424875.1,PRJNA297942,Root107,Scaffold,na,SAMN04155693,2015-11-02,GCA_001424875.1,full,Kitasatospora,Kitasatospora sp. Root107 (high GC Gram+),GCF_001424875.1,,yes,major,sp.,Root107,Max Planck Institute for Plant Breeding Research,1736424
GCF_001425805.1,PRJNA297942,Root369,Scaffold,na,SAMN04155792,2015-11-02,GCA_001425805.1,full,Streptomyces,Streptomyces sp. Root369 (high GC Gram+),GCF_001425805.1,,yes,major,sp.,Root369,Max Planck Institute for Plant Breeding Research,1736523
GCF_001426325.1,PRJNA297942,Root1295,Scaffold,na,SAMN04155717,2015-11-02,GCA_001426325.1,full,Streptomyces,Streptomyces sp. Root1295 (high GC Gram+),GCF_001426325.1,,yes,major,sp.,Root1295,Max Planck Institute for Plant Breeding Research,1736448
GCF_001426405.1,PRJNA297942,Root1304,Scaffold,na,SAMN04155719,2015-11-02,GCA_001426405.1,full,Streptomyces,Streptomyces sp. Root1304 (high GC Gram+),GCF_001426405.1,,yes,major,sp.,Root1304,Max Planck Institute for Plant Breeding Research,1736450
GCF_001426425.1,PRJNA297942,Root1310,Scaffold,na,SAMN04155721,2015-11-02,GCA_001426425.1,full,Streptomyces,Streptomyces sp. Root1310 (high GC Gram+),GCF_001426425.1,,yes,major,sp.,Root1310,Max Planck Institute for Plant Breeding Research,1736452
GCF_001426585.1,PRJNA297942,Root431,Scaffold,na,SAMN04155804,2015-11-02,GCA_001426585.1,full,Streptomyces,Streptomyces sp. Root431 (high GC Gram+),GCF_001426585.1,,yes,major,sp.,Root431,Max Planck Institute for Plant Breeding Research,1736535
GCF_001426615.1,PRJNA297942,Root1319,Scaffold,na,SAMN04155723,2015-11-02,GCA_001426615.1,full,Streptomyces,Streptomyces sp. Root1319 (high GC Gram+),GCF_001426615.1,,yes,major,sp.,Root1319,Max Planck Institute for Plant Breeding Research,1736454
GCF_001427245.1,PRJNA297942,Root55,Scaffold,na,SAMN04155823,2015-11-02,GCA_001427245.1,full,Streptomyces,Streptomyces sp. Root55 (high GC Gram+),GCF_001427245.1,,yes,major,sp.,Root55,Max Planck Institute for Plant Breeding Research,1736554
GCF_001427565.1,PRJNA297942,Root63,Scaffold,na,SAMN04155842,2015-11-02,GCA_001427565.1,full,Streptomyces,Streptomyces sp. Root63 (high GC Gram+),GCF_001427565.1,,yes,major,sp.,Root63,Max Planck Institute for Plant Breeding Research,1736573
GCF_001427745.1,PRJNA297942,Root66D1,Scaffold,na,SAMN04155851,2015-11-02,GCA_001427745.1,full,Streptomyces,Streptomyces sp. Root66D1 (high GC Gram+),GCF_001427745.1,,yes,major,sp.,Root66D1,Max Planck Institute for Plant Breeding Research,1736582
GCF_001428885.1,PRJNA297942,Root264,Scaffold,na,SAMN04155772,2015-11-02,GCA_001428885.1,full,Streptomyces,Streptomyces sp. Root264 (high GC Gram+),GCF_001428885.1,,yes,major,sp.,Root264,Max Planck Institute for Plant Breeding Research,1736503
GCF_001429805.1,PRJNA297942,Root187,Scaffold,na,SAMN04155755,2015-11-02,GCA_001429805.1,full,Kitasatospora,Kitasatospora sp. Root187 (high GC Gram+),GCF_001429805.1,,yes,major,sp.,Root187,Max Planck Institute for Plant Breeding Research,1736486
GCF_001431765.1,PRJNA264353,ASM143176v1,Complete Genome,na,SAMN03120580,2015-11-04,GCA_001431765.1,full,Streptomyces,Streptomyces sp. FR-008 (high GC Gram+),GCF_001431765.1,,yes,major,sp.,FR-008,"Key Laboratory of Combinatorial Biosynthesis andKey Laboratory of Combinatorial Biosynthesis and Drug Discovery (Wuhan University), Ministry of Education ,and Wuhan University School of Pharmaceutical Sciences",206662
GCF_001434355.1,PRJNA257397,ASM143435v1,Chromosome,na,SAMN02951406,2015-11-09,GCA_001434355.1,full,Streptomyces,Streptomyces anulatus (high GC Gram+),GCF_001434355.1,,yes,major,anulatus,ATCC 11523,Bielefeld University,1892
GCF_001445655.1,PRJNA301664,ASM144565v1,Scaffold,na,SAMN04253747,2015-11-18,GCA_001445655.1,full,Streptomyces,Streptomyces roseifaciens (high GC Gram+),GCF_001445655.1,Representative Genome,yes,major,roseifaciens,MBT76,Institute of Biology Leiden,1488406
GCF_001445835.1,PRJNA299399,ASM144583v1,Contig,na,SAMN04201512,2015-11-18,GCA_001445835.1,full,Streptomyces,Streptomyces vitaminophilus (high GC Gram+),GCF_001445835.1,,yes,major,vitaminophilus,ATCC 31673,Oak Ridge National Laboratory,76728
GCF_001447075.1,PRJNA302679,ASM144707v1,Complete Genome,na,SAMN04277307,2015-11-20,GCA_001447075.1,full,Streptomyces,Streptomyces hygroscopicus subsp. limoneus (high GC Gram+),GCF_001447075.1,,yes,major,hygroscopicus,KCTC 1717,KCTC (Korean Collection for Type Cultures),264445
GCF_001469455.2,PRJNA298352,ASM146945v2,Scaffold,na,SAMN04158509,2016-08-19,GCA_001469455.2,full,Streptomyces,Streptomyces sp. AVP053U2 (high GC Gram+),GCF_001469455.2,,yes,major,sp.,AVP053U2,University of Connecticut,1737066
GCF_001482415.1,PRJNA304595,ASM148241v1,Scaffold,na,SAMN04304558,2015-12-24,GCA_001482415.1,full,Streptomyces,Streptomyces silvensis (high GC Gram+),GCF_001482415.1,,yes,major,silvensis,ATCC 53525,McMaster University,1765722
GCF_001484565.1,PRJNA302338,ASM148456v1,Complete Genome,na,SAMN04235813,2016-01-04,GCA_001484565.1,full,Streptomyces,Streptomyces sp. CdTB01 (high GC Gram+),GCF_001484565.1,,yes,major,sp.,CdTB01,Hunan Agricultural University,1725411
GCF_001484625.1,PRJNA303097,ASM148462v1,Contig,na,SAMN04285690,2016-01-04,GCA_001484625.1,full,Streptomyces,Streptomyces kanasensis (high GC Gram+),GCF_001484625.1,Representative Genome,yes,major,kanasensis,ZX01,Northwest A & F University,936756
GCF_001485105.1,PRJDB4008,ASM148510v1,Scaffold,na,SAMD00034892,2015-12-24,GCA_001485105.1,full,Streptomyces,Streptomyces acidiscabies (high GC Gram+),GCF_001485105.1,,yes,major,acidiscabies,a10,"Plant Pathology and Entomology, Kagoshima Institute for Agricultural Development",42234
GCF_001485125.1,PRJDB4008,ASM148512v1,Scaffold,na,SAMD00034890,2015-12-24,GCA_001485125.1,full,Streptomyces,Streptomyces scabiei (high GC Gram+),GCF_001485125.1,,yes,major,scabiei,S58,"Plant Pathology and Entomology, Kagoshima Institute for Agricultural Development",1930
GCF_001493375.1,PRJEB9981,Streptomyces specialis,Scaffold,na,SAMEA3696889,2015-12-22,GCA_001493375.1,full,Streptomyces,Streptomyces specialis (high GC Gram+),GCF_001493375.1,Representative Genome,yes,major,specialis,type strain: GW41-1564,URMITE,498367
GCF_001507395.1,PRJNA238534,ASM150739v1,Contig,na,SAMN02900606,2016-01-07,GCA_001507395.1,full,Streptomyces,Streptomyces rimosus subsp. rimosus (high GC Gram+),GCF_001507395.1,,yes,major,rimosus,NRRL WC-3897,University of Illinois at Urbana-Champaign,132474
GCF_001507435.1,PRJNA238534,ASM150743v1,Contig,na,SAMN03327488,2016-01-07,GCA_001507435.1,full,Streptomyces,Streptomyces sp. NRRL F-5122 (high GC Gram+),GCF_001507435.1,,yes,major,sp.,NRRL F-5122,University of Illinois at Urbana-Champaign,1609098
